day,price,date,difficulty,num_tranc,activeAddresses
2010-07-21 00:00:00,0.0,2010-07-21,181.54328936405048,465.0,809.0
2010-07-23 00:00:00,0.0,2010-07-23,181.54328936405048,392.0,652.0
2010-07-25 00:00:00,0.0,2010-07-25,181.54328936405048,2337.0,2132.0
2010-07-27 00:00:00,0.0,2010-07-27,244.2132230923753,445.0,771.0
2010-07-29 00:00:00,0.0,2010-07-29,244.2132230923753,3455.0,528.0
2010-07-31 00:00:00,0.0,2010-07-31,244.2132230923753,295.0,475.0
2010-08-02 00:00:00,0.0,2010-08-02,244.2132230923753,413.0,627.0
2010-08-04 00:00:00,0.0,2010-08-04,244.2132230923753,375.0,731.0
2010-08-06 00:00:00,0.0,2010-08-06,352.16120906801,368.0,638.0
2010-08-08 00:00:00,0.0,2010-08-08,352.16120906801,323.0,584.0
2010-08-10 00:00:00,0.0,2010-08-10,352.16120906801,402.0,590.0
2010-08-12 00:00:00,0.0,2010-08-12,352.16120906801,407.0,579.0
2010-08-14 00:00:00,0.0,2010-08-14,352.16120906801,424.0,563.0
2010-08-16 00:00:00,0.0,2010-08-16,511.77353425660425,318.0,772.0
2010-08-18 00:00:00,0.07400000000000001,2010-08-18,511.77353425660425,377.0,726.0
2010-08-20 00:00:00,0.0667,2010-08-20,511.77353425660425,398.0,656.0
2010-08-22 00:00:00,0.0664,2010-08-22,511.77353425660425,350.0,586.0
2010-08-24 00:00:00,0.066889,2010-08-24,511.77353425660425,337.0,632.0
2010-08-26 00:00:00,0.066499,2010-08-26,511.77353425660425,374.0,652.0
2010-08-28 00:00:00,0.065,2010-08-28,623.3869598689275,348.0,527.0
2010-08-30 00:00:00,0.069,2010-08-30,623.3869598689275,288.0,522.0
2010-09-01 00:00:00,0.0649,2010-09-01,623.3869598689275,408.0,603.0
2010-09-03 00:00:00,0.0634,2010-09-03,623.3869598689275,314.0,500.0
2010-09-05 00:00:00,0.0629,2010-09-05,623.3869598689275,303.0,548.0
2010-09-07 00:00:00,0.06185,2010-09-07,623.3869598689275,271.0,403.0
2010-09-09 00:00:00,0.0624,2010-09-09,712.8848645520973,343.0,514.0
2010-09-11 00:00:00,0.062,2010-09-11,712.8848645520973,296.0,433.0
2010-09-13 00:00:00,0.06201,2010-09-13,712.8848645520973,436.0,718.0
2010-09-15 00:00:00,0.175,2010-09-15,712.8848645520973,450.0,662.0
2010-09-17 00:00:00,0.0609,2010-09-17,712.8848645520973,379.0,1003.0
2010-09-19 00:00:00,0.062599,2010-09-19,917.8307413015117,339.0,654.0
2010-09-21 00:00:00,0.0633,2010-09-21,917.8307413015117,636.0,1216.0
2010-09-23 00:00:00,0.063,2010-09-23,917.8307413015117,698.0,1049.0
2010-09-25 00:00:00,0.0624,2010-09-25,917.8307413015117,451.0,825.0
2010-09-27 00:00:00,0.062206,2010-09-27,917.8307413015117,639.0,1269.0
2010-09-29 00:00:00,0.062189999999999995,2010-09-29,1318.6700501535925,998.0,1198.0
2010-10-01 00:00:00,0.061999,2010-10-01,1318.6700501535925,563.0,847.0
2010-10-03 00:00:00,0.0614,2010-10-03,1318.6700501535925,401.0,672.0
2010-10-05 00:00:00,0.06301,2010-10-05,1318.6700501535925,353.0,704.0
2010-10-07 00:00:00,0.0638,2010-10-07,1318.6700501535925,370.0,647.0
2010-10-09 00:00:00,0.12000999999999999,2010-10-09,1318.6700501535925,382.0,750.0
2010-10-11 00:00:00,0.1301,2010-10-11,1318.6700501535925,348.0,631.0
2010-10-13 00:00:00,0.095,2010-10-13,1378.0281650373263,350.0,926.0
2010-10-15 00:00:00,0.11900000000000001,2010-10-15,1378.0281650373263,333.0,581.0
2010-10-17 00:00:00,0.1045,2010-10-17,1378.0281650373263,485.0,752.0
2010-10-19 00:00:00,0.1024,2010-10-19,1378.0281650373263,964.0,1408.0
2010-10-21 00:00:00,0.109,2010-10-21,2149.021814946726,602.0,994.0
2010-10-23 00:00:00,0.10901,2010-10-23,2149.021814946726,623.0,835.0
2010-10-25 00:00:00,0.15,2010-10-25,2149.021814946726,479.0,752.0
2010-10-27 00:00:00,0.19,2010-10-27,2149.021814946726,569.0,1117.0
2010-10-29 00:00:00,0.191,2010-10-29,2149.021814946726,466.0,848.0
2010-10-31 00:00:00,0.19899999999999998,2010-10-31,3091.736890411797,311.0,572.0
2010-11-02 00:00:00,0.1955,2010-11-02,3091.736890411797,283.0,458.0
2010-11-04 00:00:00,0.23601,2010-11-04,3091.736890411797,339.0,607.0
2010-11-06 00:00:00,0.29,2010-11-06,3091.736890411797,389.0,596.0
2010-11-08 00:00:00,0.37,2010-11-08,3091.736890411797,498.0,1571.0
2010-11-10 00:00:00,0.2667,2010-11-10,4536.353723275037,372.0,651.0
2010-11-12 00:00:00,0.251,2010-11-12,4536.353723275037,296.0,456.0
2010-11-14 00:00:00,0.299,2010-11-14,4536.353723275037,399.0,901.0
2010-11-16 00:00:00,0.2827,2010-11-16,4536.353723275037,12087.0,3365.0
2010-11-18 00:00:00,0.28999899999999995,2010-11-18,4536.353723275037,434.0,632.0
2010-11-20 00:00:00,0.289,2010-11-20,6866.8986489727395,12322.0,784.0
2010-11-22 00:00:00,0.282,2010-11-22,6866.8986489727395,395.0,624.0
2010-11-24 00:00:00,0.28299,2010-11-24,6866.8986489727395,2749.0,963.0
2010-11-26 00:00:00,0.289,2010-11-26,6866.8986489727395,1542.0,1197.0
2010-11-28 00:00:00,0.28461,2010-11-28,6866.8986489727395,457.0,706.0
2010-11-30 00:00:00,0.275,2010-11-30,8078.195257925088,455.0,797.0
2010-12-02 00:00:00,0.25,2010-12-02,8078.195257925088,472.0,812.0
2010-12-04 00:00:00,0.2589,2010-12-04,8078.195257925088,402.0,729.0
2010-12-06 00:00:00,0.225,2010-12-06,8078.195257925088,447.0,734.0
2010-12-08 00:00:00,0.2477,2010-12-08,8078.195257925088,537.0,903.0
2010-12-10 00:00:00,0.204,2010-12-10,12251.9997603745,382.0,636.0
2010-12-12 00:00:00,0.228,2010-12-12,12251.9997603745,564.0,1194.0
2010-12-14 00:00:00,0.23,2010-12-14,12251.9997603745,683.0,1131.0
2010-12-16 00:00:00,0.2459,2010-12-16,12251.9997603745,523.0,949.0
2010-12-18 00:00:00,0.249,2010-12-18,12251.9997603745,466.0,858.0
2010-12-20 00:00:00,0.275,2010-12-20,12251.9997603745,934.0,1461.0
2010-12-22 00:00:00,0.267,2010-12-22,14484.1623612254,634.0,1210.0
2010-12-24 00:00:00,0.25,2010-12-24,14484.1623612254,578.0,851.0
2010-12-26 00:00:00,0.269999,2010-12-26,14484.1623612254,650.0,1028.0
